Option;1A;1B;1D;1E;1G;1I;1K;1L
1;3E;3J;3I;3F;;3G;3L;3K
2;;3G;3I;3D;3J;3F;3L;3K
3;3E;3J;3I;3D;;3G;3L;3K
4;3E;3J;3I;3D;;3F;3L;3K
5;3E;3G;3I;3D;3J;3F;3L;3K
6;3E;3G;3J;3D;;3F;3L;3K
7;3E;3G;3I;3D;;3F;3L;3K
8;3E;3G;3J;3D;;3F;3L;3I
9;3E;3G;3J;3D;;3F;3I;3K
10;;3G;3I;3C;3J;3F;3L;3K
11;3E;3J;3I;3C;;3G;3L;3K
12;3E;3J;3I;3C;;3F;3L;3K
13;3E;3G;3I;3C;3J;3F;3L;3K
14;3E;3G;3J;3C;;3F;3L;3K
15;3E;3G;3I;3C;;3F;3L;3K
16;3E;3G;3J;3C;;3F;3L;3I
17;3E;3G;3J;3C;;3F;3I;3K
18;;3G;3I;3C;3J;3D;3L;3K
19;3C;3J;3I;3D;;3F;3L;3K
20;3C;3G;3I;3D;3J;3F;3L;3K
21;3C;3G;3J;3D;;3F;3L;3K
22;3C;3G;3I;3D;;3F;3L;3K
23;3C;3G;3J;3D;;3F;3L;3I
24;3C;3G;3J;3D;;3F;3I;3K
25;3E;3J;3I;3C;;3D;3L;3K
26;3E;3G;3I;3C;3J;3D;3L;3K
27;3E;3G;3J;3C;;3D;3L;3K
28;3E;3G;3I;3C;;3D;3L;3K
29;3E;3G;3J;3C;;3D;3L;3I
30;3E;3G;3J;3C;;3D;3I;3K
31;3C;3J;3E;3D;3I;3F;3L;3K
32;3C;3J;3E;3D;;3F;3L;3K
33;3C;3E;3I;3D;;3F;3L;3K
34;3C;3J;3E;3D;;3F;3L;3I
35;3C;3J;3E;3D;;3F;3I;3K
36;3C;3G;3E;3D;3J;3F;3L;3K
37;3C;3G;3E;3D;3I;3F;3L;3K
38;3C;3G;3E;3D;3J;3F;3L;3I
39;3C;3G;3E;3D;3J;3F;3I;3K
40;3C;3G;3E;3D;;3F;3L;3K
41;3C;3G;3J;3D;;3F;3L;3E
42;3C;3G;3J;3D;;3F;3E;3K
43;3C;3G;3E;3D;;3F;3L;3I
44;3C;3G;3E;3D;;3F;3I;3K
45;3C;3G;3J;3D;;3F;3E;3I
46;;3J;3B;3F;3I;3G;3L;3K
47;3E;3J;3I;3B;;3G;3L;3K
48;3E;3J;3B;3F;3I;;3L;3K
49;3E;3J;3B;3F;3I;3G;3L;3K
50;3E;3J;3B;3F;;3G;3L;3K
51;3E;3G;3B;3F;3I;;3L;3K
52;3E;3J;3B;3F;;3G;3L;3I
53;3E;3J;3B;3F;;3G;3I;3K
54;;3J;3B;3D;3I;3G;3L;3K
55;;3J;3B;3D;3I;3F;3L;3K
56;3I;3G;3B;3D;3J;3F;3L;3K
57;;3G;3B;3D;3J;3F;3L;3K
58;;3G;3B;3D;3I;3F;3L;3K
